nome_bairro,nome_grupo,desc_atividade,mulheres,n,proporcao
SANTO ANTONIO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",126,2,63
CASA FORTE,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",3736,10,373.6
PONTO DE PARADA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",861,2,430.5
JAQUEIRA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",886,2,443
AFLITOS,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",3232,6,538.6666666666666
ILHA DO LEITE,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",561,1,561
TORRE,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",9984,14,713.1428571428571
ESPINHEIRO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",5973,8,746.625
ROSARINHO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",2260,3,753.3333333333334
PARNAMIRIM,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",4228,5,845.6
CABANGA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",872,1,872
GRACAS,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",11696,12,974.6666666666666
MADALENA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",12742,12,1061.8333333333333
TAMARINEIRA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",7973,7,1139
DERBY,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",1216,1,1216
POCO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",2518,2,1259
CASA AMARELA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",16185,12,1348.75
BOA VISTA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",8614,6,1435.6666666666667
HIPODROMO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",1496,1,1496
BOA VIAGEM,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",67878,45,1508.4
ZUMBI,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",3355,2,1677.5
ALTO DO MANDU,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",2564,1,2564
AFOGADOS,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",19571,7,2795.8571428571427
SANTO AMARO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",15259,5,3051.8
MONTEIRO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",3204,1,3204
ENCRUZILHADA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",6744,2,3372
MUSTARDINHA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",6770,2,3385
IPSEP,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",14022,4,3505.5
CAJUEIRO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",3601,1,3601
COELHOS,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",4062,1,4062
FUNDAO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",4425,1,4425
SAO JOSE,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",4497,1,4497
CORDEIRO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",22748,5,4549.6
SAN MARTIN,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",13830,3,4610
BEBERIBE,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",4625,1,4625
IPUTINGA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",28164,6,4694
ESTANCIA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",4914,1,4914
IMBIRIBEIRA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",26004,5,5200.8
PINA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",15673,3,5224.333333333333
CAMPO GRANDE,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",17592,3,5864
PRADO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",6409,1,6409
ARRUDA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",7923,1,7923
AREIAS,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",16321,2,8160.5
JORDAO,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",11031,1,11031
VARZEA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",37583,3,12527.666666666666
VASCO DA GAMA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",16524,1,16524
TORROES,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",16914,1,16914
AGUA FRIA,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",23235,1,23235
